# n time_ns time_per_element_ns
1 148 148.00
2 138 69.00
5 140 28.00
10 238 23.80
20 446 22.30
50 1022 20.44
100 1724 17.24
200 3164 15.82
500 7760 15.52
1000 16654 16.65
2000 34376 17.19
5000 82828 16.57
10000 145550 14.55
20000 312437 15.62
50000 1159387 23.19
100000 1575161 15.75
200000 2828075 14.14
500000 6832995 13.67
1000000 18515202 18.52
